32	3.7353	3.7008	3.7233	3.7544	3.7098	3.7577	3.7292	3.7167	3.6983	19.02.2019	3.7231	3.7334	3.7449	3.7029	-0.33	3.7245	3.7156	3.7267	0	1
33	3.7231	3.7353	3.7008	3.7233	3.7544	3.7098	3.7577	3.7292	3.7167	20.02.2019	3.7277	3.7243	3.7372	3.69	0.12	3.7274	3.7205	3.7257	0	1
34	3.7277	3.7231	3.7353	3.7008	3.7233	3.7544	3.7098	3.7577	3.7292	21.02.2019	3.7696	3.7256	3.7721	3.7149	1.12	3.7300	3.7288	3.7265	0	0
35	3.7696	3.7277	3.7231	3.7353	3.7008	3.7233	3.7544	3.7098	3.7577	22.02.2019	3.7485	3.7683	3.7683	3.7262	-0.56	3.7342	3.7330	3.7262	0	1
36	3.7485	3.7696	3.7277	3.7231	3.7353	3.7008	3.7233	3.7544	3.7098	25.02.2019	3.7521	3.7468	3.7523	3.7193	0.10	3.7427	3.7360	3.7236	0	0
37	3.7521	3.7485	3.7696	3.7277	3.7231	3.7353	3.7008	3.7233	3.7544	26.02.2019	3.7489	3.7519	3.7666	3.7378	-0.09	3.7450	3.7376	3.7229	0	0
38	3.7489	3.7521	3.7485	3.7696	3.7277	3.7231	3.7353	3.7008	3.7233	27.02.2019	3.7287	3.7444	3.7478	3.7217	-0.54	3.7459	3.7352	3.7210	0	1
39	3.7287	3.7489	3.7521	3.7485	3.7696	3.7277	3.7231	3.7353	3.7008	28.02.2019	3.7514	3.7258	3.7592	3.7171	0.61	3.7499	3.7387	3.7202	0	1
40	3.7514	3.7287	3.7489	3.7521	3.7485	3.7696	3.7277	3.7231	3.7353	01.03.2019	3.7752	3.7511	3.7957	3.7456	0.63	3.7508	3.7404	3.7208	0	1
41	3.7752	3.7514	3.7287	3.7489	3.7521	3.7485	3.7696	3.7277	3.7231	04.03.2019	3.7755	3.7742	3.7755	3.7742	0.01	3.7553	3.7447	3.7231	0	0
42	3.7755	3.7752	3.7514	3.7287	3.7489	3.7521	3.7485	3.7696	3.7277	05.03.2019	3.7755	3.7755	3.7755	3.7755	0.00	3.7592	3.7510	3.7268	0	1
43	3.7755	3.7755	3.7752	3.7514	3.7287	3.7489	3.7521	3.7485	3.7696	06.03.2019	3.8401	3.7763	3.8451	3.7746	1.71	3.7744	3.7597	3.7350	0	1
44	3.8401	3.7755	3.7755	3.7752	3.7514	3.7287	3.7489	3.7521	3.7485	07.03.2019	3.8704	3.8405	3.9028	3.8159	0.79	3.7980	3.7720	3.7438	0	0
45	3.8704	3.8401	3.7755	3.7755	3.7752	3.7514	3.7287	3.7489	3.7521	08.03.2019	3.8668	3.8708	3.9032	3.8493	-0.09	3.8173	3.7836	3.7520	0	0
