1	0	0	0	0	0	0	0	0	0	13/08/2019 09:09	3.9879	3.9879	3.9853	0.0058	0	0	0	1
2	3.9879	0	0	0	0	0	0	0	0	13/08/2019 09:20	3.9903	3.9903	3.9853	0.0086	0	0	0	0
3	3.9903	3.9879	0	0	0	0	0	0	0	13/08/2019 09:30	3.9883	3.9903	3.9853	0.0064	0	0	0	1
4	3.9883	3.9903	3.9879	0	0	0	0	0	0	13/08/2019 09:40	3.9968	3.9968	3.9853	0.0149	0	0	0	1
5	3.9968	3.9883	3.9903	3.9879	0	0	0	0	0	13/08/2019 09:50	3.9973	3.9973	3.9853	0.0154	0	0	0	1
6	3.9973	3.9968	3.9883	3.9903	3.9879	0	0	0	0	13/08/2019 09:59	3.9993	3.9993	3.9853	0.0174	3.9933	0	0	1
7	3.9993	3.9973	3.9968	3.9883	3.9903	3.9879	0	0	0	13/08/2019 10:10	4.0039	4.0039	3.9853	0.022	3.9960	0	0	0
8	4.0039	3.9993	3.9973	3.9968	3.9883	3.9903	3.9879	0	0	13/08/2019 10:19	3.9998	4.0039	3.9853	0.018	3.9976	0	0	1
9	3.9998	4.0039	3.9993	3.9973	3.9968	3.9883	3.9903	3.9879	0	13/08/2019 10:30	4.0050	4.0050	3.9853	0.0223	4.0004	0	0	0
10	4.0050	3.9998	4.0039	3.9993	3.9973	3.9968	3.9883	3.9903	3.9879	13/08/2019 10:40	3.9912	4.0050	3.9853	0.0081	3.9994	0	0	0
11	3.9912	4.0050	3.9998	4.0039	3.9993	3.9973	3.9968	3.9883	3.9903	13/08/2019 10:50	3.9670	4.0050	3.9670	-0.0159	3.9944	0	0	0
12	3.9670	3.9912	4.0050	3.9998	4.0039	3.9993	3.9973	3.9968	3.9883	13/08/2019 11:00	3.9578	4.0050	3.9578	-0.0239	3.9875	3.9904	0	1
13	3.9578	3.9670	3.9912	4.0050	3.9998	4.0039	3.9993	3.9973	3.9968	13/08/2019 11:09	3.9600	4.0050	3.9578	-0.0228	3.9801	3.9881	0	0
